year,city,country,temp_city,,,year,temp_global,,Correlation coefficient,,
1750,London,United Kingdom,10.25,,-0.26,1750,8.72,,0.563099158,-0.74,1.53
1751,London,United Kingdom,9.99,,-3.45,1751,7.98,,,-2.2,2.01
1752,London,United Kingdom,6.54,,2.88,1752,5.78,,,2.61,0.76
1753,London,United Kingdom,9.42,,-0.22,1753,8.39,,,0.08,1.03
1754,London,United Kingdom,9.2,,-0.25,1754,8.47,,,-0.11,0.73
1755,London,United Kingdom,8.95,,0.47,1755,8.36,,,0.49,0.59
1756,London,United Kingdom,9.42,,-0.08,1756,8.85,,,0.17,0.57
1757,London,United Kingdom,9.34,,-0.49,1757,9.02,,,-2.28,0.32
1758,London,United Kingdom,8.85,,0.95,1758,6.74,,,1.25,2.11
1759,London,United Kingdom,9.8,9.176,-0.54,1759,7.99,8.03,,-0.8,1.81
1760,London,United Kingdom,9.26,9.077,0.43,1760,7.19,7.877,,1.58,2.07
1761,London,United Kingdom,9.69,9.047,-0.7,1761,8.77,7.956,,-0.16,0.92
1762,London,United Kingdom,8.99,9.292,-0.24,1762,8.61,8.239,,-1.11,0.38
1763,London,United Kingdom,8.75,9.225,0.39,1763,7.5,8.15,,0.9,1.25
1764,London,United Kingdom,9.14,9.219,-0.19,1764,8.4,8.143,,-0.15,0.74
1765,London,United Kingdom,8.95,9.219,0.12,1765,8.25,8.132,,0.16,0.7
1766,London,United Kingdom,9.07,9.184,-0.09,1766,8.41,8.088,,-0.19,0.66
1767,London,United Kingdom,8.98,9.148,0.14,1767,8.22,8.008,,-1.44,0.76
1768,London,United Kingdom,9.12,9.175,-0.08,1768,6.78,8.012,,0.91,2.34
1769,London,United Kingdom,9.04,9.099,-0.01,1769,7.69,7.982,,0,1.35
1770,London,United Kingdom,9.03,9.076,-0.25,1770,7.69,8.032,,0.16,1.34
1771,London,United Kingdom,8.78,8.985,0.58,1771,7.85,7.94,,0.34,0.93
1772,London,United Kingdom,9.36,9.022,-0.03,1772,8.19,7.898,,0.03,1.17
1773,London,United Kingdom,9.33,9.08,-0.23,1773,8.22,7.97,,0.55,1.11
1774,London,United Kingdom,9.1,9.076,1,1774,8.77,8.007,,0.41,0.33
1775,London,United Kingdom,10.1,9.191,-0.89,1775,9.18,8.1,,-0.88,0.92
1776,London,United Kingdom,9.21,9.205,0.04,1776,8.3,8.089,,-0.04,0.91
1777,London,United Kingdom,9.25,9.232,0.55,1777,8.26,8.093,,0.28,0.99
1778,London,United Kingdom,9.8,9.3,0.96,1778,8.54,8.269,,0.44,1.26
1779,London,United Kingdom,10.76,9.472,-1.09,1779,8.98,8.398,,0.45,1.78
1780,London,United Kingdom,9.67,9.536,0.74,1780,9.43,8.572,,-1.33,0.24
1781,London,United Kingdom,10.41,9.699,-1.97,1781,8.1,8.597,,-0.2,2.31
1782,London,United Kingdom,8.44,9.607,1.53,1782,7.9,8.568,,-0.22,0.54
1783,London,United Kingdom,9.97,9.671,-1.68,1783,7.68,8.514,,0.18,2.29
1784,London,United Kingdom,8.29,9.59,0.25,1784,7.86,8.423,,-0.5,0.43
1785,London,United Kingdom,8.54,9.434,-0.19,1785,7.36,8.241,,0.9,1.18
1786,London,United Kingdom,8.35,9.348,1.18,1786,8.26,8.237,,-0.23,0.09
1787,London,United Kingdom,9.53,9.376,-0.14,1787,8.03,8.214,,0.42,1.5
1788,London,United Kingdom,9.39,9.335,-0.27,1788,8.45,8.205,,-0.12,0.94
1789,London,United Kingdom,9.12,9.171,0.55,1789,8.33,8.14,,-0.35,0.79
1790,London,United Kingdom,9.67,9.171,-0.08,1790,7.98,7.995,,0.25,1.69
1791,London,United Kingdom,9.59,9.089,-0.03,1791,8.23,8.008,,-0.14,1.36
1792,London,United Kingdom,9.56,9.201,0.03,1792,8.09,8.027,,0.14,1.47
1793,London,United Kingdom,9.59,9.163,0.41,1793,8.23,8.082,,0.3,1.36
1794,London,United Kingdom,10,9.334,-0.81,1794,8.53,8.149,,-0.18,1.47
1795,London,United Kingdom,9.19,9.399,0.31,1795,8.35,8.248,,-0.08,0.84
1796,London,United Kingdom,9.5,9.514,0.12,1796,8.27,8.249,,0.24,1.23
1797,London,United Kingdom,9.62,9.523,0.21,1797,8.51,8.297,,0.16,1.11
1798,London,United Kingdom,9.83,9.567,-1.89,1798,8.67,8.319,,-0.16,1.16
1799,London,United Kingdom,7.94,9.449,1.38,1799,8.51,8.337,,-0.03,-0.57
1800,London,United Kingdom,9.32,9.414,0.36,1800,8.48,8.387,,0.11,0.84
1801,London,United Kingdom,9.68,9.423,-0.37,1801,8.59,8.423,,-0.01,1.09
1802,London,United Kingdom,9.31,9.398,-0.52,1802,8.58,8.472,,-0.08,0.73
1803,London,United Kingdom,8.79,9.318,0.58,1803,8.5,8.499,,0.34,0.29
1804,London,United Kingdom,9.37,9.255,-0.81,1804,8.84,8.53,,-0.28,0.53
1805,London,United Kingdom,8.56,9.192,1.31,1805,8.56,8.551,,-0.13,0
1806,London,United Kingdom,9.87,9.229,-0.84,1806,8.43,8.567,,-0.15,1.44
1807,London,United Kingdom,9.03,9.17,-0.12,1807,8.28,8.544,,-0.65,0.75
1808,London,United Kingdom,8.91,9.078,0.08,1808,7.63,8.44,,-0.55,1.28
1809,London,United Kingdom,8.99,9.183,-0.02,1809,7.08,8.297,,-0.16,1.91
1810,London,United Kingdom,8.97,9.148,1.13,1810,6.92,8.141,,-0.06,2.05
1811,London,United Kingdom,10.1,9.19,-1.52,1811,6.86,7.968,,0.19,3.24
1812,London,United Kingdom,8.58,9.117,0.55,1812,7.05,7.815,,0.69,1.53
1813,London,United Kingdom,9.13,9.151,-1.2,1813,7.74,7.739,,-0.15,1.39
1814,London,United Kingdom,7.93,9.007,1.06,1814,7.59,7.614,,-0.35,0.34
1815,London,United Kingdom,8.99,9.05,-1.01,1815,7.24,7.482,,-0.3,1.75
1816,London,United Kingdom,7.98,8.861,0.97,1816,6.94,7.333,,0.04,1.04
1817,London,United Kingdom,8.95,8.853,0.93,1817,6.98,7.203,,0.85,1.97
1818,London,United Kingdom,9.88,8.95,-0.3,1818,7.83,7.223,,-0.46,2.05
1819,London,United Kingdom,9.58,9.009,-0.97,1819,7.37,7.252,,0.25,2.21
1820,London,United Kingdom,8.61,8.973,1.02,1820,7.62,7.322,,0.47,0.99
1821,London,United Kingdom,9.63,8.926,0.73,1821,8.09,7.445,,0.1,1.54
1822,London,United Kingdom,10.36,9.104,-1.56,1822,8.19,7.559,,-0.47,2.17
1823,London,United Kingdom,8.8,9.071,0.85,1823,7.72,7.557,,0.83,1.08
1824,London,United Kingdom,9.65,9.243,0.33,1824,8.55,7.653,,-0.16,1.1
1825,London,United Kingdom,9.98,9.342,0.14,1825,8.39,7.768,,-0.03,1.59
1826,London,United Kingdom,10.12,9.556,-0.75,1826,8.36,7.91,,0.45,1.76
1827,London,United Kingdom,9.37,9.598,0.73,1827,8.81,8.093,,-0.64,0.56
1828,London,United Kingdom,10.1,9.62,-2.15,1828,8.17,8.127,,-0.23,1.93
1829,London,United Kingdom,7.95,9.457,0.83,1829,7.94,8.184,,0.58,0.01
1830,London,United Kingdom,8.78,9.474,1.23,1830,8.52,8.274,,-0.88,0.26
1831,London,United Kingdom,10.01,9.512,-0.77,1831,7.64,8.229,,-0.19,2.37
1832,London,United Kingdom,9.24,9.4,0.16,1832,7.45,8.155,,0.56,1.79
1833,London,United Kingdom,9.4,9.46,1.19,1833,8.01,8.184,,0.14,1.39
1834,London,United Kingdom,10.59,9.554,-1.11,1834,8.15,8.144,,-0.76,2.44
1835,London,United Kingdom,9.48,9.504,-0.44,1835,7.39,8.044,,0.31,2.09
1836,London,United Kingdom,9.04,9.396,-0.19,1836,7.7,7.978,,-0.32,1.34
1837,London,United Kingdom,8.85,9.344,-0.8,1837,7.38,7.835,,0.13,1.47
1838,London,United Kingdom,8.05,9.139,0.84,1838,7.51,7.769,,0.12,0.54
1839,London,United Kingdom,8.89,9.233,-0.21,1839,7.63,7.738,,0.17,1.26
1840,London,United Kingdom,8.68,9.223,0.44,1840,7.8,7.666,,-0.11,0.88
1841,London,United Kingdom,9.12,9.134,0.31,1841,7.69,7.671,,0.33,1.43
1842,London,United Kingdom,9.43,9.153,-0.03,1842,8.02,7.728,,0.15,1.41
1843,London,United Kingdom,9.4,9.153,-0.55,1843,8.17,7.744,,-0.52,1.23
1844,London,United Kingdom,8.85,8.979,-0.39,1844,7.65,7.694,,0.2,1.2
1845,London,United Kingdom,8.46,8.877,2.02,1845,7.85,7.74,,0.7,0.61
1846,London,United Kingdom,10.48,9.021,-1.24,1846,8.55,7.825,,-0.46,1.93
1847,London,United Kingdom,9.24,9.06,0.28,1847,8.09,7.896,,-0.11,1.15
1848,London,United Kingdom,9.52,9.207,-0.1,1848,7.98,7.943,,0,1.54
1849,London,United Kingdom,9.42,9.26,-0.36,1849,7.98,7.978,,-0.08,1.44
1850,London,United Kingdom,9.06,9.298,0.11,1850,7.9,7.988,,0.28,1.16
1851,London,United Kingdom,9.17,9.303,0.79,1851,8.18,8.037,,-0.08,0.99
1852,London,United Kingdom,9.96,9.356,-1.52,1852,8.1,8.045,,-0.06,1.86
1853,London,United Kingdom,8.44,9.26,0.86,1853,8.04,8.032,,0.17,0.4
1854,London,United Kingdom,9.3,9.305,-1.27,1854,8.21,8.088,,-0.1,1.09
1855,London,United Kingdom,8.03,9.262,1.14,1855,8.11,8.114,,-0.11,-0.08
1856,London,United Kingdom,9.17,9.131,1.04,1856,8,8.059,,-0.24,1.17
1857,London,United Kingdom,10.21,9.228,-1.01,1857,7.76,8.026,,0.34,2.45
1858,London,United Kingdom,9.2,9.196,0.77,1858,8.1,8.038,,0.15,1.1
1859,London,United Kingdom,9.97,9.251,-1.8,1859,8.25,8.065,,-0.29,1.72
1860,London,United Kingdom,8.17,9.162,1.25,1860,7.96,8.071,,-0.11,0.21
1861,London,United Kingdom,9.42,9.187,0.14,1861,7.85,8.038,,-0.29,1.57
1862,London,United Kingdom,9.56,9.147,0.34,1862,7.56,7.984,,0.55,2
1863,London,United Kingdom,9.9,9.293,-1.16,1863,8.11,7.991,,-0.13,1.79
1864,London,United Kingdom,8.74,9.237,1.08,1864,7.98,7.968,,0.2,0.76
1865,London,United Kingdom,9.82,9.416,-0.13,1865,8.18,7.975,,0.11,1.64
1866,London,United Kingdom,9.69,9.468,-0.63,1866,8.29,8.004,,0.15,1.4
1867,London,United Kingdom,9.06,9.353,1.44,1867,8.44,8.072,,-0.19,0.62
1868,London,United Kingdom,10.5,9.483,-1.04,1868,8.25,8.087,,0.18,2.25
1869,London,United Kingdom,9.46,9.432,-0.52,1869,8.43,8.105,,-0.23,1.03
1870,London,United Kingdom,8.94,9.509,0.03,1870,8.2,8.129,,-0.08,0.74
1871,London,United Kingdom,8.97,9.464,1.1,1871,8.12,8.156,,0.07,0.85
1872,London,United Kingdom,10.07,9.515,-0.81,1872,8.19,8.219,,0.16,1.88
1873,London,United Kingdom,9.26,9.451,0.11,1873,8.35,8.243,,0.08,0.91
1874,London,United Kingdom,9.37,9.514,0.06,1874,8.43,8.288,,-0.57,0.94
1875,London,United Kingdom,9.43,9.475,0.32,1875,7.86,8.256,,0.22,1.57
1876,London,United Kingdom,9.75,9.481,-0.32,1876,8.08,8.235,,0.46,1.67
1877,London,United Kingdom,9.43,9.518,0.04,1877,8.54,8.245,,0.29,0.89
1878,London,United Kingdom,9.47,9.415,-1.85,1878,8.83,8.303,,-0.66,0.64
1879,London,United Kingdom,7.62,9.231,1.73,1879,8.17,8.277,,-0.05,-0.55
1880,London,United Kingdom,9.35,9.272,-0.64,1880,8.12,8.269,,0.15,1.23
1881,London,United Kingdom,8.71,9.246,0.72,1881,8.27,8.284,,-0.14,0.44
1882,London,United Kingdom,9.43,9.182,-0.22,1882,8.13,8.278,,-0.15,1.3
1883,London,United Kingdom,9.21,9.177,0.65,1883,7.98,8.241,,-0.21,1.23
1884,London,United Kingdom,9.86,9.226,-1.18,1884,7.77,8.175,,0.15,2.09
1885,London,United Kingdom,8.68,9.151,0.12,1885,7.92,8.181,,0.03,0.76
1886,London,United Kingdom,8.8,9.056,-0.41,1886,7.95,8.168,,-0.04,0.85
1887,London,United Kingdom,8.39,8.952,-0.08,1887,7.91,8.105,,0.18,0.48
1888,London,United Kingdom,8.31,8.836,0.6,1888,8.09,8.031,,0.23,0.22
1889,London,United Kingdom,8.91,8.965,-0.05,1889,8.32,8.046,,-0.35,0.59
1890,London,United Kingdom,8.86,8.916,-0.21,1890,7.97,8.031,,0.05,0.89
1891,London,United Kingdom,8.65,8.91,-0.3,1891,8.02,8.006,,0.05,0.63
1892,London,United Kingdom,8.35,8.802,1.7,1892,8.07,8,,-0.01,0.28
1893,London,United Kingdom,10.05,8.886,-0.63,1893,8.06,8.008,,0.1,1.99
1894,London,United Kingdom,9.42,8.842,-0.51,1894,8.16,8.047,,-0.01,1.26
1895,London,United Kingdom,8.91,8.865,0.5,1895,8.15,8.07,,0.06,0.76
1896,London,United Kingdom,9.41,8.926,0.09,1896,8.21,8.096,,0.08,1.2
1897,London,United Kingdom,9.5,9.037,0.58,1897,8.29,8.134,,-0.11,1.21
1898,London,United Kingdom,10.08,9.214,-0.23,1898,8.18,8.143,,0.22,1.9
1899,London,United Kingdom,9.85,9.308,-0.12,1899,8.4,8.151,,0.1,1.45
1900,London,United Kingdom,9.73,9.395,-0.53,1900,8.5,8.204,,0.04,1.23
1901,London,United Kingdom,9.2,9.45,-0.25,1901,8.54,8.256,,-0.24,0.66
1902,London,United Kingdom,8.95,9.51,0.5,1902,8.3,8.279,,-0.08,0.65
